date,Step Counts,Heart Rate
2016-09-10 00:00:00,,89
2016-09-11 00:00:00,,82
2016-09-13 00:00:00,,69
2016-09-14 00:00:00,,73
2016-09-24 00:00:00,,81
2016-09-26 00:00:00,,74
2016-10-01 00:00:00,,82
2016-10-02 00:00:00,,75
2016-10-12 00:00:00,,64
2016-10-13 00:00:00,,78
2016-10-16 00:00:00,,78
2016-10-19 00:00:00,,78
2016-10-30 00:00:00,,81
2016-10-31 00:00:00,,72
2016-11-12 00:00:00,,80
2016-11-19 00:00:00,,60
2016-11-20 00:00:00,,76
2016-12-11 00:00:00,,77
2016-12-29 00:00:00,,71
2016-12-30 00:00:00,,70
2017-01-08 00:00:00,,75
2017-01-09 00:00:00,,76
2017-01-10 00:00:00,,79
2017-01-13 00:00:00,,77
2017-02-03 00:00:00,,64
2017-02-08 00:00:00,,70
2017-02-09 00:00:00,,64
2017-02-10 00:00:00,,74
2017-02-12 00:00:00,,63
2017-02-14 00:00:00,,80
