date,Step Counts,Heart Rate
2016-05-13 00:00:00,168,85
2016-05-15 00:00:00,764,82
2016-05-16 00:00:00,857,88
2016-05-18 00:00:00,1256,87
2016-05-19 00:00:00,91,88
2016-05-22 00:00:00,1623,93
2016-05-24 00:00:00,754,83
2016-05-25 00:00:00,3854,72
2016-05-26 00:00:00,419,91
2016-05-27 00:00:00,4426,82
2016-05-28 00:00:00,299,80
2016-05-29 00:00:00,594,74
2016-06-02 00:00:00,693,79
2016-06-03 00:00:00,3977,81
2016-06-04 00:00:00,298,91
2016-06-05 00:00:00,1832,81
2016-06-06 00:00:00,520,75
2016-06-07 00:00:00,1719,85
2016-06-08 00:00:00,756,86
2016-06-09 00:00:00,1173,85
2016-06-11 00:00:00,1002,84
2016-06-12 00:00:00,1003,93
2016-06-13 00:00:00,376,80
2016-06-17 00:00:00,2370,84
2016-06-21 00:00:00,281,71
2016-06-22 00:00:00,1328,87
2016-06-23 00:00:00,453,82
2016-06-24 00:00:00,,84
2016-06-25 00:00:00,,77
2016-06-26 00:00:00,,77
2016-06-28 00:00:00,,85
2016-06-30 00:00:00,,105
2016-07-01 00:00:00,,97
2016-07-03 00:00:00,,90
2016-07-04 00:00:00,,77
2016-07-05 00:00:00,,84
2016-07-06 00:00:00,,81
2016-07-07 00:00:00,,76
2016-07-08 00:00:00,,93
2016-07-09 00:00:00,,84
2016-07-10 00:00:00,,78
2016-07-11 00:00:00,,85
2016-07-12 00:00:00,,87
2016-07-13 00:00:00,,91
2016-07-14 00:00:00,,86
