date,Step Counts,Heart Rate
2016-01-20 00:00:00,15277,
2016-01-21 00:00:00,9740,
2016-01-22 00:00:00,4587,
2016-01-23 00:00:00,20413,
2016-01-25 00:00:00,7399,
2016-01-26 00:00:00,22182,
2016-01-27 00:00:00,12852,
2016-01-28 00:00:00,10267,
2016-01-29 00:00:00,12366,
2016-01-30 00:00:00,9551,
2016-01-31 00:00:00,9317,
2016-02-01 00:00:00,13621,
2016-02-02 00:00:00,15215,
2016-02-03 00:00:00,5691,
2016-02-04 00:00:00,10261,
2016-02-05 00:00:00,10448,
2016-02-06 00:00:00,15253,
2016-02-07 00:00:00,9054,
2016-02-08 00:00:00,6030,
2016-02-09 00:00:00,4897,
2016-02-11 00:00:00,10344,
2016-02-12 00:00:00,11761,
2016-02-13 00:00:00,6468,
2016-02-14 00:00:00,6936,
2016-02-15 00:00:00,9121,
2016-02-16 00:00:00,16710,
2016-02-17 00:00:00,12375,
2016-02-18 00:00:00,15583,
2016-02-19 00:00:00,13280,
2016-02-20 00:00:00,14486,
2016-02-21 00:00:00,8986,
2016-02-22 00:00:00,14348,
2016-02-24 00:00:00,12727,
2016-02-25 00:00:00,7665,
2016-02-26 00:00:00,14721,76
2016-02-27 00:00:00,8607,79
2016-02-28 00:00:00,11072,78
2016-02-29 00:00:00,6970,
2016-03-01 00:00:00,9186,80
2016-03-02 00:00:00,13149,77
2016-03-03 00:00:00,17657,78
2016-03-04 00:00:00,14646,76
2016-03-05 00:00:00,14688,78
2016-03-06 00:00:00,6139,81
2016-03-07 00:00:00,3603,83
2016-03-08 00:00:00,8177,77
2016-03-09 00:00:00,11969,81
2016-03-10 00:00:00,13096,80
2016-03-11 00:00:00,1260,75
2016-03-12 00:00:00,8702,77
2016-03-13 00:00:00,1900,86
2016-03-14 00:00:00,8118,77
2016-03-15 00:00:00,8514,80
2016-03-20 00:00:00,13334,87
2016-03-21 00:00:00,23623,76
2016-03-25 00:00:00,12446,83
2016-03-26 00:00:00,8290,78
2016-03-27 00:00:00,2630,82
2016-03-28 00:00:00,8382,79
2016-03-29 00:00:00,11026,78
