date,Step Counts,Heart Rate
2016-04-11 00:00:00,7959,72
2016-04-12 00:00:00,9413,77
2016-04-14 00:00:00,10223,75
2016-04-15 00:00:00,9539,88
2016-04-16 00:00:00,9311,74
2016-04-17 00:00:00,2094,66
2016-04-18 00:00:00,7432,81
2016-04-19 00:00:00,8467,76
2016-04-20 00:00:00,11049,78
2016-04-21 00:00:00,10789,75
2016-04-22 00:00:00,7062,80
2016-04-23 00:00:00,9801,68
2016-04-24 00:00:00,8603,72
2016-04-25 00:00:00,8185,67
2016-04-26 00:00:00,13129,71
2016-04-27 00:00:00,9541,76
2016-05-01 00:00:00,,82
2016-05-02 00:00:00,,85
2016-05-05 00:00:00,1645,68
2016-05-06 00:00:00,9734,77
2016-05-10 00:00:00,7282,78
2016-05-11 00:00:00,9717,68
2016-05-13 00:00:00,,83
2016-05-14 00:00:00,7793,72
2016-05-15 00:00:00,2979,72
2016-05-16 00:00:00,5586,79
2016-05-17 00:00:00,11155,76
2016-05-18 00:00:00,10437,77
