date,Step Counts,Heart Rate
2016-04-23 00:00:00,,81
2016-04-24 00:00:00,,84
2016-04-25 00:00:00,,96
2016-04-26 00:00:00,,87
2016-06-20 00:00:00,,87
2016-06-21 00:00:00,,84
2016-06-22 00:00:00,,86
2016-06-23 00:00:00,,80
2016-07-12 00:00:00,,75
2016-07-14 00:00:00,,86
2016-07-16 00:00:00,,85
2016-07-17 00:00:00,,82
2016-07-18 00:00:00,,87
2016-07-24 00:00:00,,86
2016-07-25 00:00:00,,96
2016-07-27 00:00:00,,103
2016-08-05 00:00:00,,82
2016-08-06 00:00:00,,82
2016-08-21 00:00:00,,82
2016-08-22 00:00:00,,72
