date,Step Counts,Heart Rate
2016-10-16 00:00:00,,78
2016-10-18 00:00:00,,83
2016-10-19 00:00:00,,85
2016-10-22 00:00:00,,87
2016-10-23 00:00:00,,74
2016-10-24 00:00:00,,76
2016-10-25 00:00:00,,83
2016-10-26 00:00:00,,89
2016-10-27 00:00:00,,85
2016-10-28 00:00:00,,77
2016-10-29 00:00:00,,82
2016-10-31 00:00:00,,78
2016-11-02 00:00:00,,87
2016-11-03 00:00:00,,86
2016-11-04 00:00:00,,87
2016-11-06 00:00:00,,81
2016-11-08 00:00:00,,74
2016-11-09 00:00:00,,74
2016-11-10 00:00:00,,83
2016-11-11 00:00:00,,83
2016-11-12 00:00:00,,83
2016-11-13 00:00:00,,83
2016-11-14 00:00:00,,76
2016-11-16 00:00:00,,83
2016-11-17 00:00:00,,85
2016-11-18 00:00:00,,87
2016-11-19 00:00:00,,77
2016-11-21 00:00:00,,70
2016-11-22 00:00:00,,82
2016-11-23 00:00:00,,83
2016-11-24 00:00:00,,90
2016-11-25 00:00:00,,90
2016-11-27 00:00:00,,76
2016-11-28 00:00:00,,73
2016-11-29 00:00:00,,72
2016-12-01 00:00:00,,79
2016-12-02 00:00:00,,76
2016-12-03 00:00:00,,83
2016-12-05 00:00:00,,72
2016-12-06 00:00:00,,73
2016-12-07 00:00:00,,84
2016-12-08 00:00:00,,74
2016-12-10 00:00:00,,95
2016-12-13 00:00:00,11283,79
2016-12-14 00:00:00,8178,80
2016-12-15 00:00:00,9469,79
2016-12-16 00:00:00,9613,80
2016-12-19 00:00:00,3435,71
2016-12-21 00:00:00,4309,77
2016-12-24 00:00:00,6421,78
2017-01-02 00:00:00,,75
2017-01-03 00:00:00,,79
2017-01-04 00:00:00,,83
2017-01-06 00:00:00,,84
2017-01-07 00:00:00,,79
2017-01-08 00:00:00,,86
2017-01-09 00:00:00,,72
2017-01-10 00:00:00,,77
2017-01-12 00:00:00,,68
2017-01-14 00:00:00,,68
2017-01-16 00:00:00,,70
2017-01-17 00:00:00,,72
