date,Step Counts,Heart Rate
2016-02-04 00:00:00,10921,56
2016-02-05 00:00:00,13454,
2016-02-06 00:00:00,12656,
2016-02-07 00:00:00,15305,
2016-02-08 00:00:00,15520,
2016-02-09 00:00:00,13890,
2016-02-10 00:00:00,8585,
2016-02-11 00:00:00,11384,65
2016-02-12 00:00:00,17306,
2016-02-13 00:00:00,9154,
2016-02-14 00:00:00,9526,
2016-02-15 00:00:00,17899,87
2016-02-16 00:00:00,8805,
2016-02-17 00:00:00,9597,
2016-02-18 00:00:00,9147,
2016-02-20 00:00:00,9657,
2016-02-21 00:00:00,11006,
2016-02-22 00:00:00,19889,
2016-02-23 00:00:00,13567,
2016-02-24 00:00:00,13082,
2016-02-25 00:00:00,7502,
2016-02-26 00:00:00,12042,
2016-02-27 00:00:00,9171,
2016-02-28 00:00:00,6302,79
2016-03-01 00:00:00,12191,83
2016-03-02 00:00:00,11122,67
2016-03-03 00:00:00,10096,73
2016-03-04 00:00:00,18427,88
2016-03-05 00:00:00,11160,76
2016-03-06 00:00:00,14063,83
2016-03-07 00:00:00,18886,74
2016-03-08 00:00:00,9049,74
