date,Step Counts,Heart Rate
2016-02-29 00:00:00,,102
2016-03-10 00:00:00,,94
2016-03-14 00:00:00,,69
2016-03-15 00:00:00,,86
2016-03-16 00:00:00,,112
2016-03-17 00:00:00,,96
2016-03-21 00:00:00,,67
2016-03-24 00:00:00,,80
2016-03-29 00:00:00,,93
2016-03-30 00:00:00,,72
2016-03-31 00:00:00,,70
2016-04-04 00:00:00,,94
2016-04-20 00:00:00,,94
2016-04-21 00:00:00,,61
2016-04-25 00:00:00,,105
2016-04-26 00:00:00,,67
2016-04-27 00:00:00,,112
2016-04-28 00:00:00,,106
2016-05-03 00:00:00,,66
2016-05-09 00:00:00,,122
2016-05-10 00:00:00,,69
2016-05-11 00:00:00,,116
2016-05-12 00:00:00,,89
2016-05-16 00:00:00,,65
2016-05-23 00:00:00,,91
2016-05-24 00:00:00,,77
2016-05-25 00:00:00,,104
2016-05-26 00:00:00,,79
2016-05-30 00:00:00,,84
2016-06-01 00:00:00,,90
2016-06-02 00:00:00,,66
2016-06-13 00:00:00,,91
2016-06-14 00:00:00,,103
2016-06-15 00:00:00,,100
2016-06-16 00:00:00,,85
