date,Step Counts,Heart Rate
2016-03-24 00:00:00,,91
2016-03-26 00:00:00,,80
2016-03-27 00:00:00,,88
2016-03-28 00:00:00,,78
2016-03-29 00:00:00,,82
2016-03-30 00:00:00,,86
2016-03-31 00:00:00,,78
2016-04-01 00:00:00,,84
2016-04-02 00:00:00,,89
2016-04-03 00:00:00,,88
2016-04-04 00:00:00,,81
2016-04-05 00:00:00,,93
2016-04-06 00:00:00,,90
2016-04-07 00:00:00,,85
2016-04-08 00:00:00,,94
2016-04-09 00:00:00,,84
2016-04-10 00:00:00,,100
2016-04-11 00:00:00,,81
2016-04-12 00:00:00,,82
2016-04-13 00:00:00,,90
2016-04-14 00:00:00,,83
2016-04-15 00:00:00,,93
2016-04-16 00:00:00,,81
2016-04-17 00:00:00,,85
2016-04-18 00:00:00,,89
2016-04-19 00:00:00,,80
2016-04-20 00:00:00,,83
2016-04-21 00:00:00,,83
2016-04-22 00:00:00,,98
