date,Step Counts,Heart Rate
2016-02-27 00:00:00,,83
2016-02-29 00:00:00,,74
2016-03-02 00:00:00,,71
2016-03-03 00:00:00,,74
2016-03-05 00:00:00,,85
2016-03-06 00:00:00,,78
2016-03-09 00:00:00,,75
2016-03-10 00:00:00,,74
2016-03-11 00:00:00,,76
2016-03-12 00:00:00,,82
2016-03-13 00:00:00,,82
2016-03-15 00:00:00,,77
2016-03-17 00:00:00,,77
2016-03-19 00:00:00,,84
2016-03-20 00:00:00,,78
2016-03-22 00:00:00,,77
2016-03-25 00:00:00,,76
2016-03-26 00:00:00,,77
2016-03-27 00:00:00,,80
2016-03-31 00:00:00,,75
2016-04-01 00:00:00,,73
2016-04-02 00:00:00,,71
2016-04-03 00:00:00,,78
2016-04-05 00:00:00,,68
2016-04-08 00:00:00,,84
2016-04-09 00:00:00,,77
2016-04-10 00:00:00,,85
2016-04-11 00:00:00,,68
2016-04-13 00:00:00,,68
2016-04-14 00:00:00,,71
2016-04-15 00:00:00,,79
2016-04-16 00:00:00,,79
2016-04-18 00:00:00,,76
2016-04-20 00:00:00,,73
2016-04-22 00:00:00,,73
2016-04-24 00:00:00,,76
2016-04-26 00:00:00,,66
2016-04-28 00:00:00,,69
2016-04-29 00:00:00,,68
2016-04-30 00:00:00,,79
2016-05-01 00:00:00,,84
2016-05-04 00:00:00,,71
2016-05-06 00:00:00,,78
2016-05-07 00:00:00,,76
2016-05-09 00:00:00,,66
2016-05-10 00:00:00,,69
2016-05-11 00:00:00,,70
2016-05-12 00:00:00,,66
2016-05-14 00:00:00,,75
2016-05-15 00:00:00,,82
2016-05-17 00:00:00,,66
2016-05-20 00:00:00,,79
2016-05-21 00:00:00,,76
2016-05-23 00:00:00,,70
2016-05-26 00:00:00,,66
2016-05-27 00:00:00,,70
2016-05-28 00:00:00,,72
2016-05-30 00:00:00,,82
2016-06-01 00:00:00,,69
2016-06-04 00:00:00,,84
2016-06-08 00:00:00,,71
2016-06-09 00:00:00,,72
2016-06-11 00:00:00,,72
2016-06-12 00:00:00,,79
2016-06-14 00:00:00,,70
2016-06-15 00:00:00,,75
2016-06-17 00:00:00,,63
2016-06-18 00:00:00,,73
2016-06-20 00:00:00,,67
2016-06-21 00:00:00,,71
2016-06-23 00:00:00,,69
2016-06-25 00:00:00,,77
2016-06-26 00:00:00,,80
2016-06-28 00:00:00,,67
2016-06-29 00:00:00,,73
2016-06-30 00:00:00,,77
2016-07-01 00:00:00,,73
2016-07-02 00:00:00,,71
2016-07-03 00:00:00,,81
2016-07-05 00:00:00,,76
2016-07-06 00:00:00,,69
2016-07-08 00:00:00,,69
2016-07-09 00:00:00,,76
2016-07-10 00:00:00,,79
2016-07-11 00:00:00,,71
2016-07-13 00:00:00,,71
2016-07-15 00:00:00,,74
2016-07-16 00:00:00,,86
2016-07-19 00:00:00,,74
2016-07-21 00:00:00,,72
2016-07-22 00:00:00,,68
2016-07-23 00:00:00,,78
2016-07-24 00:00:00,,74
2016-07-26 00:00:00,,73
2016-07-27 00:00:00,,78
2016-07-28 00:00:00,,75
2016-07-29 00:00:00,,70
2016-07-31 00:00:00,,87
2016-08-02 00:00:00,,74
2016-08-04 00:00:00,,75
2016-08-06 00:00:00,,79
2016-08-09 00:00:00,,76
2016-08-11 00:00:00,,74
2016-08-13 00:00:00,,80
2016-08-17 00:00:00,,78
2016-08-18 00:00:00,,76
2016-08-21 00:00:00,,84
2016-08-29 00:00:00,,75
2016-09-01 00:00:00,,71
2016-09-02 00:00:00,,77
2016-09-04 00:00:00,,79
2016-09-05 00:00:00,,74
2016-09-06 00:00:00,,74
2016-09-07 00:00:00,,75
2016-09-09 00:00:00,,73
2016-09-10 00:00:00,,72
2016-09-13 00:00:00,,76
2016-09-16 00:00:00,,73
2016-09-17 00:00:00,,78
2016-09-18 00:00:00,,78
2016-09-20 00:00:00,,77
2016-09-23 00:00:00,,79
2016-09-24 00:00:00,,81
2016-09-27 00:00:00,,72
2016-09-30 00:00:00,,72
2016-10-01 00:00:00,,71
2016-10-03 00:00:00,,69
2016-10-06 00:00:00,,71
2016-10-08 00:00:00,,75
2016-10-12 00:00:00,,71
2016-10-16 00:00:00,,72
2016-10-23 00:00:00,,105
2016-10-24 00:00:00,,65
2016-10-25 00:00:00,,64
2016-10-26 00:00:00,,63
2016-10-28 00:00:00,,68
2016-11-01 00:00:00,,62
2016-11-03 00:00:00,,70
2016-11-09 00:00:00,,62
2016-11-11 00:00:00,,68
2016-11-17 00:00:00,,65
2016-11-24 00:00:00,,68
2016-11-27 00:00:00,,102
2017-03-24 00:00:00,,60
2017-05-16 00:00:00,,62
2017-07-23 00:00:00,,93
2017-07-24 00:00:00,,64
2017-07-29 00:00:00,,79
2017-07-30 00:00:00,,78
2017-08-06 00:00:00,,89
2017-08-09 00:00:00,,74
2017-08-12 00:00:00,,82
2017-08-15 00:00:00,,70
2017-08-16 00:00:00,,79
2017-08-19 00:00:00,,85
2017-08-24 00:00:00,,68
2017-08-25 00:00:00,,75
2017-08-26 00:00:00,,84
2017-08-28 00:00:00,,81
2017-08-29 00:00:00,,85
2017-08-31 00:00:00,,64
