date,Step Counts,Heart Rate
2017-01-15 00:00:00,,79
2017-01-16 00:00:00,,80
2017-01-17 00:00:00,,82
2017-01-18 00:00:00,,82
2017-01-19 00:00:00,,78
2017-01-20 00:00:00,,77
2017-01-22 00:00:00,,75
2017-01-23 00:00:00,,79
2017-01-24 00:00:00,,81
2017-01-25 00:00:00,,83
2017-01-26 00:00:00,,80
2017-01-28 00:00:00,,71
2017-01-30 00:00:00,,80
2017-01-31 00:00:00,,82
2017-02-01 00:00:00,,84
2017-02-02 00:00:00,,79
2017-02-03 00:00:00,,77
2017-02-05 00:00:00,,74
2017-02-07 00:00:00,,82
2017-02-08 00:00:00,,85
2017-02-09 00:00:00,,80
2017-02-10 00:00:00,,85
2017-02-11 00:00:00,,81
2017-02-12 00:00:00,,74
2017-02-13 00:00:00,,82
2017-02-14 00:00:00,,86
2017-02-15 00:00:00,,80
2017-02-17 00:00:00,,89
2017-02-18 00:00:00,,78
2017-02-21 00:00:00,,84
2017-02-22 00:00:00,,81
2017-02-23 00:00:00,,82
2017-02-24 00:00:00,,83
