date,Step Counts,Heart Rate
2016-03-19 00:00:00,696,
2016-03-22 00:00:00,10415,86
2016-03-28 00:00:00,4608,
2016-03-30 00:00:00,5059,
2016-04-01 00:00:00,12992,82
2016-04-02 00:00:00,17250,79
2016-04-04 00:00:00,11751,84
2016-04-05 00:00:00,3060,64
2016-04-06 00:00:00,7022,62
2016-04-07 00:00:00,11812,70
2016-04-09 00:00:00,11257,81
2016-04-11 00:00:00,5794,73
2016-04-12 00:00:00,3570,70
2016-04-13 00:00:00,2551,65
2016-04-15 00:00:00,4500,71
2016-04-16 00:00:00,7642,82
2016-04-17 00:00:00,3753,79
2016-04-18 00:00:00,2892,61
2016-04-19 00:00:00,2041,66
