date,Step Counts,Heart Rate
2016-02-04 00:00:00,1420,
2016-02-05 00:00:00,2811,
2016-02-06 00:00:00,5292,
2016-02-07 00:00:00,2596,
2016-02-08 00:00:00,4002,
2016-02-09 00:00:00,7759,
2016-02-10 00:00:00,4906,
2016-02-11 00:00:00,6773,
2016-02-12 00:00:00,5727,84
2016-02-13 00:00:00,4899,
2016-02-15 00:00:00,7560,
2016-02-17 00:00:00,3422,
2016-02-18 00:00:00,4869,
2016-02-19 00:00:00,5511,
2016-02-20 00:00:00,2533,
2016-02-21 00:00:00,2552,
2016-02-22 00:00:00,5358,
2016-02-23 00:00:00,5747,
2016-02-24 00:00:00,7028,
2016-02-25 00:00:00,7063,
2016-02-26 00:00:00,2590,
2016-02-27 00:00:00,5640,
2016-02-28 00:00:00,1354,
2016-03-01 00:00:00,5023,
2016-03-02 00:00:00,1980,
2016-03-03 00:00:00,4375,
2016-03-04 00:00:00,4890,
2016-03-05 00:00:00,6222,
2016-03-06 00:00:00,4546,
2016-03-07 00:00:00,1402,
2016-03-08 00:00:00,5076,
2016-03-09 00:00:00,1960,
2016-03-12 00:00:00,5018,
2016-03-13 00:00:00,3017,
2016-03-14 00:00:00,4827,
2016-03-15 00:00:00,3956,
2016-03-16 00:00:00,265,
