date,Step Counts,Heart Rate
2016-03-06 00:00:00,2276,80
2016-03-07 00:00:00,4120,72
2016-03-08 00:00:00,1762,83
2016-03-09 00:00:00,16758,91
2016-03-10 00:00:00,2716,77
2016-03-12 00:00:00,6749,83
2016-03-13 00:00:00,535,81
2016-03-14 00:00:00,6167,91
2016-03-15 00:00:00,7860,75
2016-03-16 00:00:00,7434,69
2016-03-17 00:00:00,9805,73
2016-03-18 00:00:00,4940,70
2016-03-19 00:00:00,6163,80
2016-03-20 00:00:00,4324,76
2016-03-21 00:00:00,2660,88
2016-03-22 00:00:00,8541,75
2016-03-23 00:00:00,3381,74
2016-03-24 00:00:00,3761,77
2016-03-26 00:00:00,1554,71
2016-03-27 00:00:00,4731,76
2016-03-28 00:00:00,8611,74
2016-03-29 00:00:00,6214,85
2016-03-30 00:00:00,7331,84
2016-03-31 00:00:00,5604,78
2016-04-01 00:00:00,6112,76
2016-04-02 00:00:00,3906,77
2016-04-03 00:00:00,134,82
2016-04-04 00:00:00,5886,79
2016-04-06 00:00:00,7500,87
2016-04-07 00:00:00,10197,79
2016-04-08 00:00:00,4010,70
2016-04-09 00:00:00,6874,79
2016-04-10 00:00:00,15295,86
2016-04-11 00:00:00,7582,77
2016-04-13 00:00:00,9550,68
