date,Step Counts,Heart Rate
2016-01-29 00:00:00,8766,
2016-01-30 00:00:00,5070,
2016-01-31 00:00:00,5056,
2016-02-01 00:00:00,8083,
2016-02-02 00:00:00,8230,
2016-02-04 00:00:00,7585,
2016-02-05 00:00:00,6595,
2016-02-06 00:00:00,7928,
2016-02-07 00:00:00,4043,
2016-02-08 00:00:00,12663,
2016-02-09 00:00:00,8543,
2016-02-10 00:00:00,8386,
2016-02-11 00:00:00,7298,
2016-02-12 00:00:00,9018,
2016-02-13 00:00:00,6085,
2016-02-14 00:00:00,4384,
2016-02-15 00:00:00,6805,
2016-02-16 00:00:00,8853,
2016-02-17 00:00:00,8237,
2016-02-18 00:00:00,10819,
2016-02-19 00:00:00,8634,
2016-02-20 00:00:00,5762,
2016-02-21 00:00:00,5440,
2016-02-22 00:00:00,10570,
2016-02-23 00:00:00,8934,
2016-02-24 00:00:00,9522,
2016-02-25 00:00:00,10263,
2016-02-26 00:00:00,8906,
2016-02-27 00:00:00,5652,
2016-02-28 00:00:00,2508,
2016-02-29 00:00:00,11427,
2016-03-01 00:00:00,7793,
2016-03-02 00:00:00,8155,
2016-03-03 00:00:00,7086,
2016-03-04 00:00:00,6744,
2016-03-05 00:00:00,11594,
2016-03-06 00:00:00,2520,
2016-03-07 00:00:00,9158,
2016-03-08 00:00:00,10847,
2016-03-09 00:00:00,9882,
2016-03-10 00:00:00,9433,
2016-03-13 00:00:00,6542,
2016-03-14 00:00:00,5186,
2016-03-15 00:00:00,8351,
2016-03-16 00:00:00,8838,
2016-03-17 00:00:00,8404,
2016-03-19 00:00:00,4898,
2016-03-20 00:00:00,3078,
2016-03-21 00:00:00,12674,
2016-03-22 00:00:00,10815,
2016-03-25 00:00:00,4399,
2016-03-26 00:00:00,4679,
2016-03-28 00:00:00,14384,
2016-03-29 00:00:00,8165,
2016-03-30 00:00:00,10267,
2016-04-01 00:00:00,1560,
2016-04-04 00:00:00,13066,
2016-04-05 00:00:00,11546,
2016-04-06 00:00:00,11941,
2016-04-07 00:00:00,10784,
2016-04-08 00:00:00,12603,
2016-04-13 00:00:00,3239,
2016-04-14 00:00:00,2741,
2016-04-15 00:00:00,4097,
2016-04-17 00:00:00,3982,
2016-04-18 00:00:00,9348,
2016-04-19 00:00:00,7473,
2016-04-20 00:00:00,10206,
2016-04-21 00:00:00,10600,
2016-04-22 00:00:00,9672,
2016-04-24 00:00:00,2626,
2016-04-25 00:00:00,12368,
