date,Step Counts,Heart Rate
2017-01-30 00:00:00,2314,81
2017-01-31 00:00:00,2432,79
2017-02-01 00:00:00,3113,91
2017-02-02 00:00:00,1886,73
2017-02-03 00:00:00,3777,99
2017-02-07 00:00:00,2088,82
2017-02-08 00:00:00,1568,92
2017-02-09 00:00:00,4328,78
2017-02-10 00:00:00,2571,81
2017-02-11 00:00:00,3454,85
2017-02-12 00:00:00,2019,72
2017-02-13 00:00:00,1968,87
2017-02-14 00:00:00,2254,81
2017-02-15 00:00:00,4144,79
2017-02-16 00:00:00,2369,81
2017-02-17 00:00:00,3212,93
2017-02-18 00:00:00,1531,100
2017-02-19 00:00:00,3194,89
2017-02-20 00:00:00,2336,85
2017-02-21 00:00:00,1868,81
2017-02-22 00:00:00,2407,90
2017-02-24 00:00:00,2080,81
2017-02-25 00:00:00,1849,89
2017-02-26 00:00:00,1936,81
2017-02-27 00:00:00,2064,84
2017-02-28 00:00:00,3098,87
2017-03-01 00:00:00,2190,78
2017-03-03 00:00:00,2173,85
2017-03-04 00:00:00,2790,94
2017-03-05 00:00:00,1920,77
2017-03-06 00:00:00,2428,91
2017-03-08 00:00:00,2108,89
2017-03-09 00:00:00,1084,80
2017-03-10 00:00:00,2555,96
2017-03-11 00:00:00,2112,76
2017-03-12 00:00:00,2350,94
2017-03-13 00:00:00,2176,80
2017-03-14 00:00:00,2799,87
2017-03-15 00:00:00,2759,95
2017-03-16 00:00:00,2101,86
2017-03-17 00:00:00,2451,88
2017-03-18 00:00:00,2993,74
2017-03-19 00:00:00,1395,95
2017-03-20 00:00:00,1733,85
2017-03-22 00:00:00,2280,89
2017-03-23 00:00:00,1902,94
2017-03-24 00:00:00,1841,92
2017-03-25 00:00:00,2229,81
2017-03-26 00:00:00,1767,82
2017-03-27 00:00:00,1425,82
2017-03-28 00:00:00,2071,80
2017-03-30 00:00:00,2030,81
2017-03-31 00:00:00,2301,85
2017-04-01 00:00:00,3189,84
2017-04-03 00:00:00,5191,92
2017-04-04 00:00:00,7334,88
2017-04-05 00:00:00,1747,89
2017-04-06 00:00:00,3342,88
2017-04-07 00:00:00,2455,79
2017-04-08 00:00:00,3137,92
2017-04-10 00:00:00,2364,86
2017-04-13 00:00:00,,121
2017-04-14 00:00:00,4977,88
2017-04-15 00:00:00,2177,88
2017-04-16 00:00:00,915,90
2017-04-17 00:00:00,1666,96
2017-04-18 00:00:00,1423,94
2017-04-19 00:00:00,2840,83
2017-04-20 00:00:00,1733,93
2017-04-21 00:00:00,2623,90
2017-04-22 00:00:00,3213,101
2017-04-23 00:00:00,3876,80
2017-04-24 00:00:00,1152,115
2017-04-26 00:00:00,3329,91
2017-04-28 00:00:00,475,131
2017-04-29 00:00:00,568,131
2017-04-30 00:00:00,2557,121
2017-05-01 00:00:00,860,116
2017-05-02 00:00:00,3856,82
2017-05-03 00:00:00,1956,107
2017-05-04 00:00:00,963,108
2017-05-05 00:00:00,1864,99
2017-05-08 00:00:00,1382,87
2017-05-09 00:00:00,3854,116
2017-05-10 00:00:00,2067,86
2017-05-11 00:00:00,3122,95
2017-05-12 00:00:00,10047,78
2017-05-17 00:00:00,,130
2017-05-18 00:00:00,1877,75
2017-05-19 00:00:00,2658,87
2017-05-20 00:00:00,4111,76
2017-05-21 00:00:00,2036,69
2017-05-22 00:00:00,2256,84
2017-05-23 00:00:00,2985,81
2017-05-24 00:00:00,1631,108
2017-05-25 00:00:00,2167,88
2017-05-26 00:00:00,1716,93
2017-05-27 00:00:00,2353,87
2017-05-28 00:00:00,7774,89
2017-05-31 00:00:00,1170,78
2017-06-01 00:00:00,3517,77
2017-06-02 00:00:00,1538,81
2017-06-03 00:00:00,2948,80
2017-06-04 00:00:00,1406,136
2017-06-05 00:00:00,2124,83
2017-06-06 00:00:00,3634,83
2017-06-07 00:00:00,1435,87
2017-06-10 00:00:00,812,87
2017-06-11 00:00:00,3923,69
2017-06-12 00:00:00,1694,84
2017-06-13 00:00:00,2292,99
2017-06-14 00:00:00,2096,82
2017-06-16 00:00:00,3590,95
2017-06-19 00:00:00,2390,74
2017-06-20 00:00:00,2291,85
2017-06-23 00:00:00,12,90
2017-06-29 00:00:00,1146,69
2017-06-30 00:00:00,2671,73
2017-07-01 00:00:00,3292,83
2017-07-02 00:00:00,5366,92
2017-07-03 00:00:00,,115
2017-07-04 00:00:00,2819,76
2017-07-05 00:00:00,6109,84
2017-07-09 00:00:00,1209,75
2017-07-24 00:00:00,,84
2017-08-03 00:00:00,,76
2017-08-04 00:00:00,,109
2017-09-10 00:00:00,,135
2017-09-18 00:00:00,,103
2017-09-19 00:00:00,,103
2017-09-24 00:00:00,,83
2017-09-30 00:00:00,,94
2017-10-01 00:00:00,,81
2017-10-02 00:00:00,,87
2017-10-03 00:00:00,,80
2017-10-04 00:00:00,,79
2017-10-05 00:00:00,,103
2017-10-06 00:00:00,,90
2017-10-07 00:00:00,,75
2017-10-08 00:00:00,,71
