date,Step Counts,Heart Rate
2016-04-11 00:00:00,12035,77
2016-04-12 00:00:00,5213,79
2016-04-13 00:00:00,4395,74
2016-04-14 00:00:00,7610,78
2016-04-15 00:00:00,10295,81
2016-04-16 00:00:00,8426,85
2016-04-17 00:00:00,5719,81
2016-04-18 00:00:00,10126,83
2016-04-19 00:00:00,2302,82
2016-04-20 00:00:00,,79
2016-04-21 00:00:00,,78
2016-04-22 00:00:00,,84
2016-04-23 00:00:00,,83
2016-04-24 00:00:00,,85
2016-04-25 00:00:00,,89
2016-04-26 00:00:00,,79
2016-04-27 00:00:00,,62
