date,Step Counts,Heart Rate
2016-01-22 00:00:00,8168,89
2016-01-23 00:00:00,3040,90
2016-01-24 00:00:00,1895,84
2016-01-25 00:00:00,2135,92
2016-01-26 00:00:00,7412,86
2016-01-27 00:00:00,7537,90
2016-01-28 00:00:00,1729,85
2016-01-29 00:00:00,5778,93
2016-01-30 00:00:00,7341,86
2016-01-31 00:00:00,1879,92
2016-02-01 00:00:00,5395,86
2016-02-02 00:00:00,3371,83
2016-02-03 00:00:00,5303,83
2016-02-04 00:00:00,6094,80
2016-02-05 00:00:00,5067,82
2016-02-06 00:00:00,3549,100
2016-02-07 00:00:00,1740,105
2016-02-08 00:00:00,5114,85
