date,Step Counts,Heart Rate
2016-05-31 00:00:00,,77
2016-06-01 00:00:00,,78
2016-06-02 00:00:00,,86
2016-06-03 00:00:00,,91
2016-06-10 00:00:00,,78
2016-06-11 00:00:00,,89
2016-06-12 00:00:00,,88
2016-06-17 00:00:00,,77
2016-06-19 00:00:00,,88
2016-06-25 00:00:00,,82
2016-06-27 00:00:00,5964,84
2016-06-28 00:00:00,,85
2016-06-29 00:00:00,,82
2016-06-30 00:00:00,,85
2016-07-01 00:00:00,,84
2016-07-02 00:00:00,,83
2016-07-03 00:00:00,,84
2016-07-04 00:00:00,,85
2016-07-06 00:00:00,,75
2016-07-07 00:00:00,,78
2016-07-09 00:00:00,,82
2016-07-10 00:00:00,,82
2016-07-11 00:00:00,,78
2016-07-12 00:00:00,,82
2016-07-13 00:00:00,,81
2016-07-14 00:00:00,,80
2016-07-15 00:00:00,,81
2016-07-16 00:00:00,,77
2016-07-17 00:00:00,,86
2016-07-19 00:00:00,,75
