date,Step Counts,Heart Rate
2016-03-12 00:00:00,20153,86
2016-03-13 00:00:00,8682,80
2016-03-14 00:00:00,10106,83
2016-03-15 00:00:00,10271,77
2016-03-17 00:00:00,9419,84
2016-03-18 00:00:00,11330,84
2016-03-19 00:00:00,11004,73
2016-03-20 00:00:00,15256,84
2016-03-21 00:00:00,12279,80
2016-03-22 00:00:00,13098,79
2016-03-23 00:00:00,12577,86
2016-03-24 00:00:00,13800,85
2016-03-26 00:00:00,15240,85
2016-03-27 00:00:00,14874,85
2016-03-28 00:00:00,3489,83
2016-03-29 00:00:00,10292,83
2016-03-30 00:00:00,9746,79
2016-03-31 00:00:00,8282,83
2016-04-01 00:00:00,8650,77
2016-04-03 00:00:00,12052,83
2016-04-04 00:00:00,15144,87
2016-04-06 00:00:00,14763,87
2016-04-08 00:00:00,11141,76
2016-04-09 00:00:00,7781,84
2016-04-10 00:00:00,10490,75
2016-04-11 00:00:00,13204,83
2016-04-12 00:00:00,10785,85
2016-04-13 00:00:00,11438,84
2016-04-14 00:00:00,10516,82
2016-04-15 00:00:00,,85
2016-04-17 00:00:00,6927,75
2016-04-18 00:00:00,9140,76
2016-04-19 00:00:00,6522,78
2016-04-20 00:00:00,9492,82
2016-04-22 00:00:00,7845,72
2016-04-23 00:00:00,11564,77
2016-04-24 00:00:00,8379,74
2016-04-25 00:00:00,9524,76
2016-04-26 00:00:00,7499,83
2016-04-27 00:00:00,4340,74
2016-04-29 00:00:00,9208,87
2016-05-01 00:00:00,1883,
2016-05-02 00:00:00,8998,80
2016-05-04 00:00:00,10816,88
2016-05-05 00:00:00,11907,82
2016-05-06 00:00:00,14328,89
2016-05-07 00:00:00,14572,84
2016-05-08 00:00:00,10892,84
2016-05-09 00:00:00,11655,84
2016-05-11 00:00:00,9376,84
2016-05-12 00:00:00,12328,82
2016-05-13 00:00:00,13889,83
2016-05-14 00:00:00,9204,87
2016-05-15 00:00:00,8615,71
2016-05-17 00:00:00,15011,84
2016-05-18 00:00:00,6996,86
2016-05-19 00:00:00,8264,79
2016-05-20 00:00:00,4988,80
2016-05-21 00:00:00,14613,79
2016-05-23 00:00:00,8319,81
2016-05-25 00:00:00,9250,73
2016-05-26 00:00:00,11374,75
2016-05-27 00:00:00,8221,77
2016-05-28 00:00:00,14844,67
2016-05-29 00:00:00,7879,61
2016-05-30 00:00:00,7398,79
2016-05-31 00:00:00,11349,84
2016-06-02 00:00:00,5627,86
2016-06-03 00:00:00,6438,85
2016-06-04 00:00:00,14716,86
2016-06-05 00:00:00,7364,83
2016-06-07 00:00:00,9464,82
2016-06-08 00:00:00,10908,86
2016-06-09 00:00:00,6440,81
2016-06-10 00:00:00,3882,82
2016-06-11 00:00:00,22,
2016-06-12 00:00:00,13307,81
2016-06-13 00:00:00,8279,79
2016-06-14 00:00:00,3696,83
2016-06-15 00:00:00,4699,81
2016-06-17 00:00:00,11949,86
2016-06-18 00:00:00,5296,80
2016-06-20 00:00:00,8928,80
2016-06-21 00:00:00,4614,77
2016-06-22 00:00:00,6919,80
2016-06-23 00:00:00,4812,81
2016-06-24 00:00:00,7725,85
2016-06-25 00:00:00,355,80
2016-06-26 00:00:00,3057,92
2016-06-27 00:00:00,7843,90
2016-06-28 00:00:00,,86
2016-06-30 00:00:00,,78
2016-07-01 00:00:00,,80
2016-07-02 00:00:00,,81
2016-07-04 00:00:00,,80
2016-07-05 00:00:00,,83
2016-07-06 00:00:00,,80
2016-07-07 00:00:00,,86
2016-07-08 00:00:00,,76
