date,Step Counts,Heart Rate
2016-07-07 00:00:00,1544,71
2016-07-08 00:00:00,,75
2016-07-09 00:00:00,,89
2016-07-10 00:00:00,,80
2016-07-11 00:00:00,,78
2016-07-13 00:00:00,,80
2016-07-14 00:00:00,,80
2016-07-15 00:00:00,,79
2016-07-21 00:00:00,,94
2016-09-12 00:00:00,1544,86
2016-09-13 00:00:00,,89
2016-11-26 00:00:00,,72
2016-11-27 00:00:00,,70
2017-01-14 00:00:00,,93
2017-01-15 00:00:00,,92
2017-01-19 00:00:00,,75
2017-01-27 00:00:00,,78
2017-02-02 00:00:00,,78
2017-02-03 00:00:00,,86
2017-02-06 00:00:00,,82
