date,Step Counts,Heart Rate
2018-06-14 00:00:00,,77
2018-06-15 00:00:00,,86
2018-06-16 00:00:00,,80
2018-06-18 00:00:00,,77
2018-06-19 00:00:00,,71
2018-06-20 00:00:00,,82
2018-06-21 00:00:00,,78
2018-06-22 00:00:00,,72
2018-06-24 00:00:00,,79
2018-06-25 00:00:00,,77
2018-06-26 00:00:00,,77
2018-06-27 00:00:00,,78
2018-06-28 00:00:00,,77
2018-06-29 00:00:00,,73
2018-06-30 00:00:00,,78
2018-07-01 00:00:00,,83
2018-07-02 00:00:00,,75
2018-07-03 00:00:00,,77
2018-07-04 00:00:00,,87
2018-07-05 00:00:00,,78
2018-07-06 00:00:00,,76
2018-07-07 00:00:00,,77
2018-07-08 00:00:00,,76
2018-07-09 00:00:00,,80
2018-07-10 00:00:00,,77
2018-07-11 00:00:00,,72
2018-07-12 00:00:00,,73
2018-07-13 00:00:00,,72
2018-07-15 00:00:00,,76
2018-07-18 00:00:00,,100
2018-07-19 00:00:00,,77
2018-07-20 00:00:00,,76
2018-07-21 00:00:00,,72
2018-07-22 00:00:00,,72
2018-07-23 00:00:00,,82
2018-07-25 00:00:00,,78
2018-07-27 00:00:00,,72
2018-07-28 00:00:00,,81
2018-07-29 00:00:00,,68
2018-07-31 00:00:00,,73
2018-08-01 00:00:00,,78
2018-08-02 00:00:00,,86
2018-08-03 00:00:00,,83
2018-08-04 00:00:00,,88
2018-08-05 00:00:00,,80
2018-08-06 00:00:00,,86
2018-08-07 00:00:00,,82
2018-08-08 00:00:00,,86
2018-08-09 00:00:00,,75
2018-08-10 00:00:00,,80
2018-08-11 00:00:00,,81
2018-08-13 00:00:00,,66
2018-08-14 00:00:00,,80
2018-08-15 00:00:00,,75
2018-08-16 00:00:00,,84
2018-08-18 00:00:00,,76
2018-08-19 00:00:00,,71
2018-08-21 00:00:00,,90
2018-08-22 00:00:00,,81
2018-08-23 00:00:00,,89
2018-08-24 00:00:00,,78
2018-08-25 00:00:00,,86
2018-08-27 00:00:00,,81
2018-08-28 00:00:00,,71
2018-08-30 00:00:00,,83
2018-08-31 00:00:00,,71
