date,Step Counts,Heart Rate
2016-03-05 00:00:00,,81
2016-03-06 00:00:00,,72
2016-03-08 00:00:00,,74
2016-03-23 00:00:00,,81
2016-03-24 00:00:00,,68
2016-03-25 00:00:00,,73
2016-03-29 00:00:00,,75
2016-03-30 00:00:00,,72
2016-03-31 00:00:00,,75
2016-04-01 00:00:00,,72
2016-04-03 00:00:00,,73
2016-04-04 00:00:00,,79
2016-04-05 00:00:00,,81
2016-04-17 00:00:00,,76
2016-04-18 00:00:00,,74
2016-04-19 00:00:00,,79
2016-04-20 00:00:00,1112,67
2016-04-21 00:00:00,10023,88
2016-04-22 00:00:00,5209,82
2016-04-23 00:00:00,6931,73
2016-04-24 00:00:00,10592,71
2016-04-25 00:00:00,6030,75
2016-04-26 00:00:00,9413,81
