date,Step Counts,Heart Rate
2016-04-28 00:00:00,,59
2016-04-29 00:00:00,9257,81
2016-04-30 00:00:00,15933,80
2016-05-01 00:00:00,5695,
2016-05-02 00:00:00,6358,70
2016-05-03 00:00:00,7141,78
2016-05-04 00:00:00,7927,72
2016-05-05 00:00:00,8020,76
2016-05-06 00:00:00,8461,83
2016-05-07 00:00:00,9031,79
2016-05-08 00:00:00,4733,61
2016-05-09 00:00:00,7164,71
2016-05-12 00:00:00,6077,78
2016-05-14 00:00:00,6562,71
2016-05-15 00:00:00,3255,71
2016-05-18 00:00:00,,110
2016-05-31 00:00:00,12036,73
2016-06-01 00:00:00,7255,72
2016-06-02 00:00:00,2542,71
2016-06-03 00:00:00,14235,70
2016-06-04 00:00:00,2510,93
2016-06-05 00:00:00,11216,52
2016-06-06 00:00:00,6720,71
2016-06-08 00:00:00,20821,76
2016-06-09 00:00:00,1529,67
2016-06-10 00:00:00,619,64
2016-06-13 00:00:00,12074,77
2016-06-14 00:00:00,8944,72
2016-06-16 00:00:00,8504,71
2016-06-17 00:00:00,12965,74
2016-06-18 00:00:00,6893,72
2016-06-19 00:00:00,10245,70
2016-06-20 00:00:00,10656,77
2016-06-21 00:00:00,,75
2016-06-22 00:00:00,,71
2016-06-23 00:00:00,,71
2016-06-27 00:00:00,,74
2016-06-28 00:00:00,,74
2016-06-29 00:00:00,,75
2016-06-30 00:00:00,2976,78
