date,Step Counts,Heart Rate
2016-02-03 00:00:00,5444,
2016-02-05 00:00:00,9989,
2016-02-06 00:00:00,10145,
2016-02-07 00:00:00,61,
2016-02-08 00:00:00,4500,
2016-02-09 00:00:00,4912,
2016-02-10 00:00:00,3752,
2016-02-11 00:00:00,6374,
2016-02-12 00:00:00,4293,
2016-02-13 00:00:00,19027,
2016-02-14 00:00:00,6805,
2016-02-15 00:00:00,3524,
2016-02-16 00:00:00,4844,
2016-02-17 00:00:00,8308,
2016-02-18 00:00:00,9403,
2016-02-19 00:00:00,7523,
2016-02-20 00:00:00,51,
2016-02-21 00:00:00,1670,
2016-02-22 00:00:00,4412,
2016-02-24 00:00:00,9798,
2016-02-25 00:00:00,10577,
2016-02-26 00:00:00,9553,
2016-03-04 00:00:00,719,
2016-03-07 00:00:00,817,
2016-03-08 00:00:00,2958,
2016-03-13 00:00:00,8311,
2016-03-22 00:00:00,1222,
2016-03-23 00:00:00,8252,
2016-03-24 00:00:00,4086,
2016-03-25 00:00:00,7539,
