date,Step Counts,Heart Rate
2016-06-01 00:00:00,,75
2016-06-03 00:00:00,,61
2016-06-04 00:00:00,,88
2016-06-05 00:00:00,,92
2016-06-06 00:00:00,,83
2016-06-08 00:00:00,,95
2016-06-10 00:00:00,,69
2016-06-13 00:00:00,,88
2016-06-14 00:00:00,,81
2016-06-15 00:00:00,,81
2016-06-16 00:00:00,,79
2016-06-17 00:00:00,,73
2016-06-18 00:00:00,,70
2016-06-19 00:00:00,,77
2016-06-20 00:00:00,,78
2016-06-21 00:00:00,,78
2016-06-22 00:00:00,,81
2016-06-23 00:00:00,,81
2016-06-24 00:00:00,,66
2016-06-25 00:00:00,,79
2016-06-26 00:00:00,,76
2016-06-27 00:00:00,,89
2016-06-29 00:00:00,,86
2016-06-30 00:00:00,,75
2016-07-01 00:00:00,,60
2016-07-03 00:00:00,,82
2016-07-04 00:00:00,,76
2016-07-05 00:00:00,,82
2016-07-06 00:00:00,,64
2016-07-07 00:00:00,,102
2016-07-09 00:00:00,,70
2016-07-10 00:00:00,,80
2016-07-11 00:00:00,,75
2016-07-12 00:00:00,,85
2016-07-14 00:00:00,,87
2016-07-15 00:00:00,,76
2016-07-16 00:00:00,,72
2016-07-17 00:00:00,,84
2016-07-18 00:00:00,,83
2016-07-19 00:00:00,,80
2016-07-20 00:00:00,,80
2016-07-22 00:00:00,,83
2016-07-24 00:00:00,,90
2016-07-25 00:00:00,,91
2016-07-26 00:00:00,,88
2016-07-27 00:00:00,,83
2016-08-02 00:00:00,,92
2016-08-03 00:00:00,,89
2016-08-04 00:00:00,,94
2016-08-05 00:00:00,,81
2016-08-06 00:00:00,,78
2016-08-07 00:00:00,,80
2016-08-08 00:00:00,,84
2016-08-10 00:00:00,,78
2016-08-11 00:00:00,,84
2016-08-12 00:00:00,,86
2016-08-15 00:00:00,,86
2016-08-16 00:00:00,,86
2016-08-17 00:00:00,,86
2016-08-18 00:00:00,,90
