date,Step Counts,Heart Rate
2016-08-14 00:00:00,,80
2016-08-15 00:00:00,,71
2016-08-16 00:00:00,,77
2016-08-17 00:00:00,,79
2016-08-18 00:00:00,,76
2016-08-19 00:00:00,,73
2016-08-20 00:00:00,,71
2016-08-21 00:00:00,,85
2016-08-23 00:00:00,,75
2016-08-24 00:00:00,,71
2016-08-25 00:00:00,,69
2016-08-26 00:00:00,,80
2016-08-27 00:00:00,,78
2016-08-29 00:00:00,,77
2016-08-30 00:00:00,,72
2016-08-31 00:00:00,,68
2016-09-01 00:00:00,,75
2016-09-02 00:00:00,,77
2016-09-04 00:00:00,,72
2016-09-05 00:00:00,,73
2016-09-07 00:00:00,,71
2016-09-09 00:00:00,,77
2016-09-10 00:00:00,,76
2016-09-11 00:00:00,,78
2016-09-12 00:00:00,,81
2016-09-13 00:00:00,,77
2016-09-14 00:00:00,,81
2016-09-15 00:00:00,,78
2016-09-17 00:00:00,,72
2016-09-18 00:00:00,,71
2016-09-20 00:00:00,,72
2016-09-21 00:00:00,,75
2016-09-22 00:00:00,,76
2016-09-24 00:00:00,,78
2016-09-25 00:00:00,,71
2016-09-26 00:00:00,,75
2016-09-27 00:00:00,,76
2016-09-28 00:00:00,,82
2016-09-29 00:00:00,,79
2016-09-30 00:00:00,,71
2016-10-02 00:00:00,,73
2016-10-03 00:00:00,,71
2016-10-04 00:00:00,,76
2016-10-05 00:00:00,,72
2016-10-06 00:00:00,,78
2016-10-07 00:00:00,,78
2016-10-08 00:00:00,,71
2016-10-09 00:00:00,,71
2016-10-10 00:00:00,,75
2016-10-11 00:00:00,,71
2016-10-12 00:00:00,,72
2016-10-13 00:00:00,,70
2016-10-14 00:00:00,,82
2016-10-16 00:00:00,,65
2016-10-18 00:00:00,,84
2016-10-19 00:00:00,,79
2016-10-20 00:00:00,,74
2016-10-21 00:00:00,,74
2016-11-12 00:00:00,,76
2016-11-13 00:00:00,,68
2016-11-14 00:00:00,,80
2016-11-15 00:00:00,,73
2016-11-17 00:00:00,,74
2016-11-18 00:00:00,,84
2016-11-19 00:00:00,,76
2016-11-20 00:00:00,,73
2016-11-21 00:00:00,,76
2016-11-23 00:00:00,,74
2016-11-24 00:00:00,,74
2016-11-26 00:00:00,,70
2016-11-27 00:00:00,,71
2016-11-28 00:00:00,,74
2016-11-29 00:00:00,,82
2016-11-30 00:00:00,,78
