date,Step Counts,Heart Rate
2016-08-10 00:00:00,6541,63
2016-08-11 00:00:00,,69
2016-08-12 00:00:00,,80
2016-08-13 00:00:00,,78
2016-08-14 00:00:00,,77
2016-08-15 00:00:00,,72
2016-08-16 00:00:00,,77
2016-08-17 00:00:00,,72
2016-08-18 00:00:00,,73
2016-08-19 00:00:00,,79
2016-08-20 00:00:00,,74
2016-08-21 00:00:00,,74
2016-08-22 00:00:00,,74
2016-08-24 00:00:00,,79
2016-08-26 00:00:00,,73
2016-08-27 00:00:00,,79
2016-08-28 00:00:00,,72
2016-08-29 00:00:00,,75
2016-08-30 00:00:00,,91
2016-08-31 00:00:00,,77
2016-09-01 00:00:00,,86
2016-09-02 00:00:00,,85
2016-09-03 00:00:00,,80
2016-09-04 00:00:00,,76
2016-09-05 00:00:00,,77
2016-09-06 00:00:00,,73
2016-09-07 00:00:00,,84
2016-09-08 00:00:00,,77
2016-09-09 00:00:00,,83
2016-09-10 00:00:00,,72
2016-09-11 00:00:00,,67
2016-09-12 00:00:00,,71
2016-09-13 00:00:00,,74
2016-09-14 00:00:00,,80
2016-09-15 00:00:00,,78
