date,Step Counts,Heart Rate
2017-11-22 00:00:00,,82
2017-11-24 00:00:00,,81
2017-11-25 00:00:00,,83
2017-11-26 00:00:00,,68
2017-11-27 00:00:00,,70
2017-11-28 00:00:00,,69
2017-11-30 00:00:00,,82
2017-12-01 00:00:00,,78
2017-12-02 00:00:00,,79
2017-12-03 00:00:00,,67
2017-12-06 00:00:00,,79
2017-12-07 00:00:00,,87
2017-12-08 00:00:00,,84
2017-12-10 00:00:00,,82
2017-12-12 00:00:00,,89
2017-12-13 00:00:00,,85
2017-12-14 00:00:00,,88
2017-12-15 00:00:00,,78
2017-12-16 00:00:00,,88
2017-12-17 00:00:00,,73
2017-12-18 00:00:00,,81
2017-12-20 00:00:00,,78
2017-12-22 00:00:00,,83
2017-12-23 00:00:00,,87
2017-12-25 00:00:00,,74
2017-12-26 00:00:00,,83
2017-12-27 00:00:00,,83
2017-12-28 00:00:00,,80
2017-12-30 00:00:00,,67
2018-01-01 00:00:00,,87
2018-01-02 00:00:00,,82
2018-01-05 00:00:00,,89
2018-01-06 00:00:00,,90
2018-01-07 00:00:00,,75
2018-01-09 00:00:00,,85
2018-01-10 00:00:00,,83
2018-01-11 00:00:00,,88
2018-01-12 00:00:00,,78
2018-01-13 00:00:00,,85
2018-01-14 00:00:00,,82
2018-01-15 00:00:00,,81
2018-01-17 00:00:00,,90
2018-01-19 00:00:00,,94
2018-01-20 00:00:00,,82
2018-01-22 00:00:00,,78
2018-01-24 00:00:00,,82
2018-01-26 00:00:00,,85
2018-01-29 00:00:00,,79
2018-01-30 00:00:00,,80
2018-02-01 00:00:00,,79
2018-02-03 00:00:00,,84
2018-02-04 00:00:00,,85
2018-02-06 00:00:00,,79
