date,Step Counts,Heart Rate
2016-04-17 00:00:00,5978,74
2016-04-18 00:00:00,8391,81
2016-04-19 00:00:00,8050,71
2016-04-20 00:00:00,6800,78
2016-04-21 00:00:00,9011,76
2016-04-23 00:00:00,8484,73
2016-04-24 00:00:00,4776,74
2016-04-26 00:00:00,6531,71
2016-04-27 00:00:00,2770,76
2016-04-28 00:00:00,5697,80
2016-04-29 00:00:00,9160,77
2016-04-30 00:00:00,9129,78
2016-05-01 00:00:00,6560,71
2016-05-02 00:00:00,9257,77
2016-05-03 00:00:00,7127,75
2016-05-04 00:00:00,10058,77
2016-05-05 00:00:00,8013,71
2016-05-06 00:00:00,15510,86
2016-05-08 00:00:00,12540,82
2016-05-09 00:00:00,12617,78
2016-05-10 00:00:00,9957,76
2016-05-12 00:00:00,792,71
2016-05-14 00:00:00,2154,77
2016-05-15 00:00:00,6935,72
2016-05-16 00:00:00,6701,74
2016-05-17 00:00:00,10090,81
2016-05-18 00:00:00,988,76
2016-05-19 00:00:00,,79
2016-05-21 00:00:00,6760,79
2016-05-22 00:00:00,13982,86
2016-05-24 00:00:00,7155,75
2016-05-26 00:00:00,4818,77
2016-05-27 00:00:00,12584,83
2016-05-28 00:00:00,1093,64
2016-05-30 00:00:00,9346,80
2016-05-31 00:00:00,724,66
2016-06-17 00:00:00,,66
2016-06-22 00:00:00,,71
2016-06-23 00:00:00,,75
2016-06-26 00:00:00,,81
2016-06-27 00:00:00,,77
2016-06-28 00:00:00,,74
2016-06-29 00:00:00,,79
2016-07-01 00:00:00,,79
2016-07-02 00:00:00,,87
2016-07-03 00:00:00,,79
2016-07-04 00:00:00,,78
2016-07-05 00:00:00,,74
2016-07-06 00:00:00,,58
2016-07-07 00:00:00,,76
2016-07-08 00:00:00,,66
2016-07-11 00:00:00,,83
2016-07-12 00:00:00,,75
2016-07-13 00:00:00,,81
2016-07-15 00:00:00,,80
2016-07-18 00:00:00,,87
2016-07-19 00:00:00,,79
2016-07-20 00:00:00,,82
2016-07-22 00:00:00,,84
2016-07-24 00:00:00,,68
2016-07-25 00:00:00,,78
2016-07-27 00:00:00,,85
2016-07-29 00:00:00,,70
2016-08-01 00:00:00,,75
2016-08-02 00:00:00,,68
2016-08-03 00:00:00,,85
2016-08-05 00:00:00,,81
2016-08-06 00:00:00,,76
2016-08-08 00:00:00,,74
2016-08-09 00:00:00,,70
2016-08-10 00:00:00,,98
2016-08-11 00:00:00,,76
2016-08-12 00:00:00,,75
2016-08-13 00:00:00,,78
2016-08-14 00:00:00,,78
2016-08-15 00:00:00,,74
2016-08-16 00:00:00,,81
2016-08-17 00:00:00,,81
2016-08-18 00:00:00,,78
2016-08-19 00:00:00,,72
2016-08-20 00:00:00,,76
2016-08-21 00:00:00,,81
2016-08-22 00:00:00,,68
2016-08-23 00:00:00,,81
2016-08-26 00:00:00,,79
2016-08-27 00:00:00,,78
2016-08-29 00:00:00,,76
2016-08-31 00:00:00,,78
2016-09-02 00:00:00,,77
2016-09-05 00:00:00,,74
2016-09-07 00:00:00,,71
2016-09-08 00:00:00,,75
2016-09-09 00:00:00,,77
2016-09-10 00:00:00,,77
2016-09-11 00:00:00,,77
2016-09-12 00:00:00,,76
2016-09-13 00:00:00,,78
2016-09-15 00:00:00,,79
2016-09-16 00:00:00,,74
2016-09-17 00:00:00,,76
2016-09-18 00:00:00,,77
2016-09-19 00:00:00,,76
2016-09-20 00:00:00,,75
2016-09-21 00:00:00,,70
2016-09-23 00:00:00,,64
2016-09-24 00:00:00,,85
2016-09-25 00:00:00,,90
2016-09-26 00:00:00,,77
2016-09-27 00:00:00,,77
2016-09-28 00:00:00,,76
2016-09-29 00:00:00,,81
2016-09-30 00:00:00,,78
2016-10-03 00:00:00,,79
2016-10-09 00:00:00,,77
2016-10-10 00:00:00,,76
2016-10-11 00:00:00,,78
2016-10-12 00:00:00,,77
2016-10-14 00:00:00,,69
2016-10-15 00:00:00,,79
2016-10-16 00:00:00,,79
2016-10-17 00:00:00,,80
2016-10-18 00:00:00,,78
2016-10-23 00:00:00,,86
2016-10-24 00:00:00,,72
2016-10-25 00:00:00,,79
2016-10-29 00:00:00,,79
2016-10-30 00:00:00,,71
2016-10-31 00:00:00,,63
2016-11-01 00:00:00,,70
2016-11-03 00:00:00,,69
2016-11-07 00:00:00,,68
2016-11-08 00:00:00,,68
2016-11-09 00:00:00,,79
2016-11-11 00:00:00,,90
2016-11-12 00:00:00,,87
2016-11-14 00:00:00,,80
2016-11-15 00:00:00,,76
2016-11-17 00:00:00,,68
2016-11-19 00:00:00,,77
2016-11-20 00:00:00,,79
2016-11-21 00:00:00,,70
2016-11-22 00:00:00,,78
2016-11-24 00:00:00,,63
2016-11-25 00:00:00,,68
2016-11-26 00:00:00,,68
2016-11-27 00:00:00,,74
2016-11-28 00:00:00,,66
2016-11-29 00:00:00,,82
2016-12-06 00:00:00,,79
2016-12-08 00:00:00,,70
2016-12-17 00:00:00,,83
2016-12-24 00:00:00,,75
2016-12-28 00:00:00,,65
2016-12-29 00:00:00,,78
2016-12-31 00:00:00,,76
2017-01-04 00:00:00,,80
2017-01-05 00:00:00,,83
2017-01-06 00:00:00,,83
2017-01-08 00:00:00,,64
2017-01-15 00:00:00,,65
2017-01-21 00:00:00,,62
2017-01-24 00:00:00,,62
2017-01-25 00:00:00,,67
2017-01-28 00:00:00,,70
2017-02-01 00:00:00,,67
2017-02-09 00:00:00,,74
2017-02-10 00:00:00,,65
2017-02-18 00:00:00,,68
2017-02-23 00:00:00,,82
2017-02-24 00:00:00,,82
2017-03-21 00:00:00,,82
2017-03-29 00:00:00,,68
2017-04-04 00:00:00,,88
2017-04-20 00:00:00,,60
2017-04-27 00:00:00,,65
2017-04-28 00:00:00,,68
2017-05-04 00:00:00,,74
2017-05-15 00:00:00,,68
2017-05-16 00:00:00,,79
2017-05-17 00:00:00,,73
2017-05-18 00:00:00,,64
2017-05-23 00:00:00,,78
2017-05-26 00:00:00,,79
2017-05-28 00:00:00,,84
2017-05-29 00:00:00,,77
2017-06-04 00:00:00,,79
2017-06-09 00:00:00,,73
2017-06-20 00:00:00,,81
2017-07-07 00:00:00,,74
