date,Step Counts,Heart Rate
2015-12-29 00:00:00,6459,
2015-12-30 00:00:00,4799,
2015-12-31 00:00:00,5319,
2016-01-01 00:00:00,5016,
2016-01-03 00:00:00,5291,
2016-01-04 00:00:00,5537,
2016-01-05 00:00:00,5500,
2016-01-06 00:00:00,4137,
2016-01-07 00:00:00,4306,
2016-01-08 00:00:00,5024,
2016-01-09 00:00:00,5548,
2016-01-10 00:00:00,5092,
2016-01-11 00:00:00,6013,
2016-01-12 00:00:00,5459,
2016-01-13 00:00:00,9746,
2016-01-14 00:00:00,4996,
2016-01-15 00:00:00,4730,
2016-01-16 00:00:00,3013,
2016-01-17 00:00:00,7999,
2016-01-18 00:00:00,5226,
2016-01-20 00:00:00,3939,
2016-01-21 00:00:00,6367,
2016-01-22 00:00:00,4756,
2016-01-23 00:00:00,4580,
2016-01-25 00:00:00,5749,
2016-01-26 00:00:00,5273,
2016-01-27 00:00:00,13272,
2016-01-28 00:00:00,6084,
2016-01-29 00:00:00,6936,
2016-01-31 00:00:00,3664,
2016-02-01 00:00:00,5932,
2016-02-02 00:00:00,5745,
2016-02-04 00:00:00,4901,
2016-02-05 00:00:00,10775,
2016-02-06 00:00:00,4406,
2016-02-07 00:00:00,4167,
2016-02-08 00:00:00,6044,
2016-02-09 00:00:00,5112,
2016-02-10 00:00:00,4050,
2016-02-11 00:00:00,7372,
2016-02-12 00:00:00,5771,
2016-02-13 00:00:00,4468,
2016-02-15 00:00:00,5578,
2016-02-16 00:00:00,6036,
2016-02-17 00:00:00,4867,
2016-02-18 00:00:00,9637,
2016-02-19 00:00:00,5335,
2016-02-20 00:00:00,3778,66
2016-02-21 00:00:00,5065,
2016-02-22 00:00:00,3880,
2016-02-23 00:00:00,6008,
2016-02-24 00:00:00,4942,
2016-02-25 00:00:00,4984,
2016-02-26 00:00:00,5543,
2016-02-27 00:00:00,2953,
2016-02-28 00:00:00,3655,78
2016-02-29 00:00:00,3880,68
2016-03-01 00:00:00,5579,69
2016-03-02 00:00:00,8519,65
2016-03-03 00:00:00,5208,66
2016-03-04 00:00:00,5082,71
2016-03-05 00:00:00,3606,76
2016-03-06 00:00:00,5583,72
2016-03-07 00:00:00,5812,66
2016-03-08 00:00:00,4984,67
2016-03-10 00:00:00,5810,77
2016-03-11 00:00:00,3714,67
2016-03-12 00:00:00,3903,81
2016-03-13 00:00:00,1,71
2016-03-14 00:00:00,2,75
2016-03-15 00:00:00,5213,72
2016-03-17 00:00:00,3292,72
2016-03-18 00:00:00,,74
2016-03-19 00:00:00,,74
