date,Step Counts,Heart Rate
2016-01-03 00:00:00,1064,
2016-01-04 00:00:00,3326,
2016-01-05 00:00:00,2678,
2016-01-07 00:00:00,3741,
2016-01-08 00:00:00,848,
2016-01-09 00:00:00,6800,
2016-01-10 00:00:00,1317,
2016-01-11 00:00:00,2938,
2016-01-12 00:00:00,2349,
2016-01-13 00:00:00,2655,
2016-01-14 00:00:00,2833,
2016-01-15 00:00:00,2923,
2016-01-16 00:00:00,2948,
2016-01-17 00:00:00,1466,
2016-01-18 00:00:00,2713,
2016-01-19 00:00:00,3806,
2016-01-20 00:00:00,5594,
2016-01-21 00:00:00,4187,
2016-01-22 00:00:00,2126,
2016-01-23 00:00:00,4300,
2016-01-24 00:00:00,2133,
2016-01-25 00:00:00,3749,
2016-01-26 00:00:00,2549,
2016-01-27 00:00:00,2506,
2016-01-28 00:00:00,3515,
2016-01-29 00:00:00,2734,
2016-01-30 00:00:00,2432,
2016-01-31 00:00:00,802,
2016-02-01 00:00:00,3637,
2016-02-02 00:00:00,1827,
2016-02-03 00:00:00,2805,
2016-02-04 00:00:00,2808,
2016-02-05 00:00:00,3207,
2016-02-06 00:00:00,3549,
2016-02-07 00:00:00,1168,
2016-02-08 00:00:00,1529,
2016-02-09 00:00:00,2765,
2016-02-10 00:00:00,2268,
2016-02-20 00:00:00,4753,
2016-02-21 00:00:00,1247,
2016-02-22 00:00:00,1600,
2016-02-23 00:00:00,2316,
2016-02-24 00:00:00,6093,
2016-02-25 00:00:00,2060,
2016-02-26 00:00:00,2459,
2016-02-27 00:00:00,959,71
2016-02-28 00:00:00,1461,74
2016-02-29 00:00:00,735,76
2016-03-02 00:00:00,2280,80
2016-03-03 00:00:00,2376,70
2016-03-04 00:00:00,2610,77
2016-03-05 00:00:00,1917,77
2016-03-06 00:00:00,1587,76
2016-03-07 00:00:00,3125,75
2016-03-08 00:00:00,2210,
2016-03-09 00:00:00,4999,
2016-03-10 00:00:00,2275,
2016-03-11 00:00:00,3591,78
2016-03-12 00:00:00,3381,75
2016-03-13 00:00:00,2206,71
2016-03-14 00:00:00,2144,76
2016-03-15 00:00:00,1979,77
2016-03-16 00:00:00,29,83
2016-03-18 00:00:00,2664,75
2016-03-19 00:00:00,2728,71
2016-03-20 00:00:00,1187,70
2016-03-21 00:00:00,2265,68
2016-03-22 00:00:00,2351,72
2016-03-23 00:00:00,2621,82
2016-03-24 00:00:00,3498,74
2016-03-25 00:00:00,2224,73
2016-03-26 00:00:00,3355,79
2016-03-27 00:00:00,1771,70
2016-03-28 00:00:00,1120,68
2016-03-29 00:00:00,4148,72
2016-03-31 00:00:00,3799,72
2016-04-01 00:00:00,4521,77
2016-04-02 00:00:00,2064,71
2016-04-03 00:00:00,5416,71
2016-04-04 00:00:00,3341,73
2016-04-05 00:00:00,3850,76
2016-04-06 00:00:00,5157,86
2016-04-07 00:00:00,3157,79
2016-04-08 00:00:00,3313,80
2016-04-09 00:00:00,2970,69
2016-04-10 00:00:00,3875,69
2016-04-11 00:00:00,4088,65
2016-04-12 00:00:00,3569,65
2016-04-13 00:00:00,3309,69
2016-04-14 00:00:00,5031,72
2016-04-15 00:00:00,2005,76
2016-04-16 00:00:00,2194,67
2016-04-17 00:00:00,2237,71
2016-04-18 00:00:00,5467,78
2016-04-19 00:00:00,2337,77
2016-04-20 00:00:00,,81
2016-04-21 00:00:00,,81
2016-04-22 00:00:00,,83
2016-04-23 00:00:00,,71
2016-04-24 00:00:00,,72
2016-04-25 00:00:00,,67
2016-04-26 00:00:00,,79
2016-04-27 00:00:00,,81
2016-04-28 00:00:00,,73
2016-04-29 00:00:00,,70
