date,Step Counts,Heart Rate
2017-01-09 00:00:00,,75
2017-01-10 00:00:00,,72
2017-01-12 00:00:00,,76
2017-01-13 00:00:00,,73
2017-01-15 00:00:00,,76
2017-01-16 00:00:00,,73
2017-01-17 00:00:00,,81
2017-01-18 00:00:00,,80
2017-01-19 00:00:00,,75
2017-01-21 00:00:00,,75
2017-01-22 00:00:00,,75
2017-01-23 00:00:00,,78
2017-01-24 00:00:00,,81
2017-01-25 00:00:00,,73
2017-01-26 00:00:00,,75
2017-01-27 00:00:00,,73
2017-01-28 00:00:00,,70
2017-01-29 00:00:00,,71
2017-01-31 00:00:00,,76
2017-02-01 00:00:00,,80
2017-02-02 00:00:00,,73
2017-02-03 00:00:00,,78
2017-02-04 00:00:00,,71
2017-02-05 00:00:00,,73
2017-02-06 00:00:00,,67
2017-02-07 00:00:00,,71
2017-02-08 00:00:00,,76
2017-02-09 00:00:00,,83
2017-02-10 00:00:00,,73
2017-02-12 00:00:00,,62
2017-02-13 00:00:00,,85
2017-02-14 00:00:00,,83
2017-02-15 00:00:00,,73
2017-02-16 00:00:00,,75
2017-02-17 00:00:00,,82
2017-02-18 00:00:00,,70
2017-02-19 00:00:00,,85
2017-02-20 00:00:00,,76
2017-02-21 00:00:00,,75
2017-02-22 00:00:00,,73
2017-02-23 00:00:00,,80
2017-02-24 00:00:00,,73
2017-02-25 00:00:00,,72
2017-02-26 00:00:00,,66
2017-02-27 00:00:00,,80
2017-02-28 00:00:00,,75
2017-03-01 00:00:00,,76
2017-03-02 00:00:00,,68
2017-03-03 00:00:00,,80
2017-03-04 00:00:00,,77
2017-03-05 00:00:00,,65
2017-03-06 00:00:00,,81
2017-03-08 00:00:00,,77
2017-03-09 00:00:00,,74
2017-03-10 00:00:00,,83
2017-03-11 00:00:00,,69
2017-03-13 00:00:00,,73
2017-03-14 00:00:00,,89
2017-03-15 00:00:00,,71
2017-03-16 00:00:00,,69
2017-03-18 00:00:00,,70
2017-03-19 00:00:00,,72
2017-03-20 00:00:00,,68
2017-03-22 00:00:00,,77
