date,Step Counts,Heart Rate
2016-06-06 00:00:00,7670,83
2016-06-07 00:00:00,3156,81
2016-06-08 00:00:00,4586,74
2016-06-09 00:00:00,1563,71
2016-06-12 00:00:00,1519,86
2016-06-13 00:00:00,1809,79
2016-06-15 00:00:00,1350,82
2016-06-17 00:00:00,737,72
2016-06-18 00:00:00,3265,83
2016-06-19 00:00:00,6775,85
2016-07-05 00:00:00,,87
2016-07-06 00:00:00,,84
2016-07-07 00:00:00,,87
2016-07-08 00:00:00,,70
2016-07-09 00:00:00,,78
2016-07-10 00:00:00,,70
2016-07-11 00:00:00,,82
2016-07-30 00:00:00,,77
2016-08-14 00:00:00,,74
2016-08-30 00:00:00,,77
2016-09-13 00:00:00,,79
2016-09-14 00:00:00,,76
2016-10-13 00:00:00,4810,80
2016-10-20 00:00:00,3767,77
2016-10-21 00:00:00,1972,80
2016-10-22 00:00:00,8822,87
2016-10-25 00:00:00,5181,77
2016-10-26 00:00:00,5372,77
2016-10-28 00:00:00,4615,78
2016-11-06 00:00:00,1185,78
2016-11-11 00:00:00,1212,76
2016-11-13 00:00:00,1049,77
2016-11-15 00:00:00,2475,79
2016-11-20 00:00:00,2168,75
2016-11-21 00:00:00,4809,77
2016-11-24 00:00:00,3909,82
2016-11-30 00:00:00,3737,77
2016-12-06 00:00:00,2357,80
2016-12-07 00:00:00,4031,76
2016-12-13 00:00:00,,60
2016-12-20 00:00:00,1017,77
2016-12-21 00:00:00,6295,82
2016-12-22 00:00:00,646,76
2016-12-23 00:00:00,6689,84
2016-12-24 00:00:00,2730,76
2016-12-25 00:00:00,9376,78
2016-12-26 00:00:00,3664,78
2016-12-27 00:00:00,7661,87
2016-12-29 00:00:00,5807,79
2017-01-05 00:00:00,2260,71
2017-01-06 00:00:00,1581,77
2017-01-07 00:00:00,,83
2017-01-08 00:00:00,81,70
2017-01-13 00:00:00,179,76
2017-01-14 00:00:00,498,70
2017-01-15 00:00:00,,68
2017-01-18 00:00:00,2431,78
2017-01-19 00:00:00,2665,79
2017-02-01 00:00:00,2417,73
2017-02-02 00:00:00,2704,81
2017-02-04 00:00:00,2246,78
2017-02-06 00:00:00,2271,76
2017-02-08 00:00:00,3937,77
2017-02-11 00:00:00,389,76
2017-02-12 00:00:00,434,77
2017-02-14 00:00:00,3560,78
2017-02-15 00:00:00,389,77
2017-02-17 00:00:00,2579,77
2017-02-18 00:00:00,253,69
2017-02-19 00:00:00,55,65
2017-02-23 00:00:00,3571,78
2017-02-24 00:00:00,801,70
2017-02-25 00:00:00,1652,78
2017-02-27 00:00:00,2178,74
2017-02-28 00:00:00,1634,72
2017-03-01 00:00:00,706,80
2017-03-02 00:00:00,2100,81
2017-03-03 00:00:00,,66
2017-03-05 00:00:00,,69
2017-03-06 00:00:00,3220,78
2017-03-07 00:00:00,2644,76
2017-03-08 00:00:00,3209,78
2017-03-11 00:00:00,6673,76
2017-03-12 00:00:00,1098,75
2017-03-13 00:00:00,3178,72
2017-03-16 00:00:00,2418,70
2017-03-17 00:00:00,2495,72
2017-03-18 00:00:00,139,65
2017-03-20 00:00:00,2312,72
2017-03-21 00:00:00,2728,78
2017-03-22 00:00:00,1778,73
2017-03-23 00:00:00,2598,75
2017-03-24 00:00:00,4464,77
2017-03-27 00:00:00,1987,75
2017-03-28 00:00:00,1032,78
2017-03-29 00:00:00,3116,82
2017-03-31 00:00:00,2115,75
2017-04-01 00:00:00,429,86
2017-04-02 00:00:00,7759,82
2017-04-03 00:00:00,1604,81
2017-04-04 00:00:00,20,
2017-04-05 00:00:00,2017,80
2017-04-06 00:00:00,755,72
2017-04-07 00:00:00,2435,73
2017-04-08 00:00:00,2060,72
2017-04-10 00:00:00,1648,73
2017-04-11 00:00:00,3268,76
2017-04-12 00:00:00,4153,79
2017-04-13 00:00:00,1229,77
2017-04-14 00:00:00,2726,69
2017-04-15 00:00:00,3435,81
2017-04-16 00:00:00,9292,95
2017-04-17 00:00:00,2038,78
2017-04-18 00:00:00,2103,79
2017-04-19 00:00:00,1141,71
2017-04-20 00:00:00,4047,79
2017-04-21 00:00:00,440,73
2017-04-22 00:00:00,3070,73
2017-04-23 00:00:00,,64
2017-04-24 00:00:00,685,75
2017-04-26 00:00:00,524,80
2017-04-27 00:00:00,3266,84
2017-04-28 00:00:00,1126,80
2017-04-30 00:00:00,361,72
2017-05-01 00:00:00,,62
2017-05-03 00:00:00,2586,77
2017-05-04 00:00:00,2215,70
2017-05-05 00:00:00,1137,82
2017-05-07 00:00:00,2254,73
2017-05-08 00:00:00,3565,75
2017-05-10 00:00:00,755,71
2017-05-11 00:00:00,2228,74
2017-05-12 00:00:00,5498,79
2017-05-13 00:00:00,1280,67
2017-05-14 00:00:00,2065,71
2017-05-15 00:00:00,864,67
2017-05-18 00:00:00,2002,76
2017-05-20 00:00:00,9548,87
2017-05-23 00:00:00,640,90
2017-05-24 00:00:00,4306,81
2017-05-26 00:00:00,3131,74
2017-05-27 00:00:00,6271,86
2017-05-28 00:00:00,10164,84
2017-05-30 00:00:00,171,74
2017-06-02 00:00:00,,76
2017-06-03 00:00:00,,85
2017-06-04 00:00:00,,79
2017-06-06 00:00:00,977,77
2017-06-08 00:00:00,2334,82
2017-06-09 00:00:00,2021,83
2017-06-10 00:00:00,4746,83
2017-06-11 00:00:00,3038,87
2017-06-14 00:00:00,3215,80
2017-06-15 00:00:00,3027,80
2017-06-17 00:00:00,1690,71
2017-06-19 00:00:00,4061,81
2017-06-20 00:00:00,,76
