date,Step Counts,Heart Rate
2016-01-06 00:00:00,2311,
2016-01-07 00:00:00,4755,
2016-01-09 00:00:00,13361,
2016-01-10 00:00:00,4425,
2016-01-11 00:00:00,3804,
2016-01-12 00:00:00,5063,
2016-01-13 00:00:00,3871,
2016-01-14 00:00:00,3563,
2016-01-15 00:00:00,11468,
2016-01-16 00:00:00,1987,
2016-01-17 00:00:00,9437,
2016-01-18 00:00:00,3182,
2016-01-20 00:00:00,4507,
2016-01-21 00:00:00,3224,
2016-01-22 00:00:00,4514,
2016-01-23 00:00:00,8879,
2016-01-24 00:00:00,1838,
2016-01-25 00:00:00,1892,
