date,Step Counts,Heart Rate
2018-07-25 00:00:00,,83
2018-07-26 00:00:00,,81
2018-07-27 00:00:00,,93
2018-07-28 00:00:00,,94
2018-07-29 00:00:00,,87
2018-07-31 00:00:00,,92
2018-08-01 00:00:00,,97
2018-08-02 00:00:00,,93
2018-08-04 00:00:00,,93
2018-08-05 00:00:00,,87
2018-08-07 00:00:00,,94
2018-08-08 00:00:00,,98
2018-08-09 00:00:00,,79
2018-08-10 00:00:00,,96
2018-08-11 00:00:00,,93
2018-08-12 00:00:00,,92
2018-08-13 00:00:00,,98
2018-08-14 00:00:00,,95
2018-08-15 00:00:00,,84
2018-08-16 00:00:00,,94
2018-08-18 00:00:00,,94
2018-08-19 00:00:00,,93
2018-08-20 00:00:00,,93
2018-08-22 00:00:00,,94
2018-08-23 00:00:00,,76
2018-08-24 00:00:00,,89
2018-08-26 00:00:00,,90
2018-08-28 00:00:00,,81
2018-08-29 00:00:00,,91
2018-08-31 00:00:00,,90
2018-09-02 00:00:00,,73
2018-09-03 00:00:00,,91
2018-09-04 00:00:00,,97
2018-09-05 00:00:00,,90
2018-09-06 00:00:00,,103
2018-09-07 00:00:00,,97
2018-09-08 00:00:00,,93
2018-09-09 00:00:00,,87
2018-09-10 00:00:00,,83
2018-09-11 00:00:00,,91
2018-09-12 00:00:00,,86
2018-09-13 00:00:00,,93
2018-09-14 00:00:00,,96
2018-09-15 00:00:00,,100
