date,Step Counts,Heart Rate
2016-07-10 00:00:00,,78
2016-07-11 00:00:00,,80
2016-07-12 00:00:00,,73
2016-07-13 00:00:00,,75
2016-07-15 00:00:00,,81
2016-07-16 00:00:00,,73
2016-07-17 00:00:00,,78
2016-07-18 00:00:00,,84
2016-07-19 00:00:00,,80
2016-07-20 00:00:00,,75
2016-07-21 00:00:00,,73
2016-07-25 00:00:00,,74
2016-07-26 00:00:00,,71
2016-07-27 00:00:00,,74
2016-07-28 00:00:00,,82
2016-07-29 00:00:00,,87
2016-07-31 00:00:00,,74
2016-08-01 00:00:00,,76
2016-08-02 00:00:00,,76
2016-08-03 00:00:00,,80
